CId,Mean,Median,P99,TMedian,TP99,Error,Count
22784,531.33,532.00,554.00,532.00,576.00,3.97,3.00
20647,146112.09,578.00,1076801.00,578.00,1076812.00,0.00,22.00
21594,533.12,542.00,588.00,542.00,598.00,1.70,16.00
41094,1256.94,950.00,2117.50,950.00,2131.00,0.64,47.00
22591,35314.22,765.00,1128758.00,764.69,1128777.89,0.00,9129.00
10538,620.15,607.00,848.00,607.00,849.92,0.23,52.00
854,624.35,618.50,842.00,618.50,856.72,1.75,54.00
94,657.42,594.50,1420.00,594.50,1420.16,0.01,96.00
11382,806.42,839.00,879.50,839.00,999.00,13.59,125.00
10084,2038.69,618.00,2013.00,618.00,2030.55,0.87,449.00
1054,981.08,627.50,5328.00,627.50,9901.00,85.83,24.00
10570,687.25,724.00,777.50,724.00,799.00,2.77,12.00
11169,745.96,757.00,1141.50,757.00,1143.19,0.15,331.00
41029,810.97,643.00,3057.00,643.00,3066.60,0.31,360.00
11065,740.08,734.00,946.50,734.00,953.00,0.69,13.00
212,758.67,724.50,964.00,724.50,1109.00,15.04,6.00
11334,598.50,598.50,598.50,598.50,603.00,0.75,2.00
10484,619.00,619.00,619.00,619.00,619.00,0.00,1.00
70151,657.49,549.00,1319.00,548.95,1320.31,0.10,56780.00
40574,1177.08,677.00,973.50,677.25,975.34,0.19,3116.00
11564,1275.00,1275.00,1275.00,1275.00,1275.00,0.00,1.00
450,1211.94,553.00,878.50,553.32,880.45,0.22,3261.00
822,434.00,434.00,434.00,434.00,434.00,0.00,1.00
38,681.19,652.00,1414.50,652.00,1414.66,0.01,1784.00
41329,873.53,701.00,2662.00,701.00,2735.92,2.78,79.00
41035,940.68,811.00,4240.00,811.00,4488.76,5.87,91.00
20326,2179.47,574.00,36966.00,574.00,37009.24,0.12,554.00
41572,725.80,800.00,836.00,800.00,836.18,0.02,147.00
70130,571.45,559.00,670.50,559.00,680.00,1.42,11.00
40943,644.50,646.00,696.50,646.00,738.00,5.96,4.00
21901,549.22,548.00,591.50,548.00,603.00,1.94,9.00
70200,590.48,558.50,867.00,558.50,871.00,0.46,80.00
22797,32932.75,709.00,1000684.50,708.65,1001093.40,0.04,19094.00
12135,3988.13,1867.00,5196.50,1874.40,5196.83,0.01,3567.00
70199,622.74,583.50,1730.00,583.50,1731.04,0.06,96.00
10578,550.95,555.00,684.50,555.00,693.93,1.38,59.00
40828,537.91,559.00,586.00,559.00,588.00,0.34,32.00
66,543.60,546.00,602.50,546.00,604.35,0.31,215.00
20341,54501.64,544.00,1514316.50,544.12,1524335.01,0.66,1433.00
127,836.23,804.00,1589.50,804.46,1590.98,0.09,8901.00
12300,821.00,821.00,821.00,821.00,821.00,0.00,1.00
11577,6355.19,680.00,1832.50,680.00,1834.86,0.13,2407.00
311,743.68,640.50,1708.00,640.50,1714.72,0.39,76.00
41513,549.94,558.00,617.00,558.00,622.00,0.81,47.00
10465,6750.41,596.50,1393.50,596.50,1863.28,33.71,1804.00
12215,4142.50,582.00,127493.00,582.00,127532.26,0.03,108.00
41557,1270.00,863.50,1784.00,863.50,2641.00,48.04,4.00
20931,29935.69,550.00,1366543.00,550.00,1416217.80,3.64,95.00
150,904.88,696.00,1366.50,696.00,1378.40,0.87,1866.00
216,3886.27,606.00,1583.50,606.25,1608.76,1.60,2614.00
10058,581.75,597.00,700.50,597.00,701.00,0.07,143.00
11122,5395.69,697.00,231844.00,697.00,241068.04,3.98,98.00
138,940.77,620.00,1671.00,620.00,1672.16,0.07,1671.00
40393,670.83,658.50,718.50,658.50,737.00,2.57,6.00
21104,34696.18,570.00,1333178.50,569.94,1333170.19,0.00,15665.00
