CId,Mean,Median,P99,TMedian,TP99,Error,Count
-1,16426.22,724.00,706027.00,724.33,701565.63,0.63,1730690.00
21544,532.93,529.50,678.50,529.50,698.00,2.87,14.00
40938,3236.42,649.00,2675.00,649.00,2697.90,0.86,1099.00
22923,34778.37,539.00,1396755.50,539.00,1397127.38,0.03,1864.00
10077,564.51,579.00,810.50,579.00,839.36,3.56,408.00
359,648.47,616.00,1302.00,616.00,1572.00,20.74,49.00
13037,566.89,591.00,750.50,591.00,752.85,0.31,453.00
40172,1570.24,808.50,3855.50,808.50,3856.18,0.02,96.00
671,673.00,669.50,678.50,669.50,686.00,1.11,4.00
11242,582.17,573.00,695.50,573.00,696.00,0.07,6.00
1222,12451.39,684.00,452278.50,684.00,876677.69,93.84,153.00
10655,588.59,605.00,757.00,605.00,790.00,4.36,27.00
10412,539.68,548.00,677.00,548.00,696.00,2.81,19.00
40496,766.04,605.50,1561.00,605.50,1569.12,0.52,438.00
20428,6814.27,433.50,37413.50,433.50,37419.74,0.02,952.00
41511,600.00,600.00,623.00,600.00,646.00,3.69,3.00
22862,8450.86,480.00,94130.50,479.78,94107.07,0.02,19688.00
10191,582.17,567.00,998.50,567.00,1004.11,0.56,83.00
12736,678.10,625.00,1490.50,625.00,1779.36,19.38,174.00
40132,902.02,622.00,6181.00,622.00,6181.40,0.01,880.00
20381,38216.08,551.00,1315077.00,551.00,1315087.32,0.00,657.00
12733,629.00,629.00,629.00,629.00,629.00,0.00,1.00
283,809.00,809.00,809.00,809.00,809.00,0.00,1.00
297,2946.08,682.00,1603.00,682.00,1605.70,0.17,3273.00
41598,1987.29,483.00,773.50,483.00,786.88,1.73,438.00
1124,608.67,604.00,634.00,604.00,661.00,4.26,9.00
11501,618.89,656.00,672.50,656.00,680.00,1.12,19.00
481,615.85,603.00,843.50,603.00,844.55,0.12,785.00
1018,997.78,602.00,3968.50,602.00,3968.85,0.01,565.00
141,630.31,648.00,818.50,648.00,841.74,2.84,72.00
40113,1536.60,1698.00,1769.00,1698.00,1785.00,0.90,5.00
41446,600.60,575.00,679.50,575.00,739.00,8.76,5.00
41510,616.85,604.00,1473.50,604.00,1479.82,0.43,1103.00
20283,22083.75,610.00,1146276.50,610.00,1146822.56,0.05,1162.00
10375,451.75,450.50,455.00,450.50,458.00,0.66,4.00
70167,597.80,562.50,951.50,562.50,965.00,1.42,20.00
22173,595.33,600.00,601.50,600.00,603.00,0.25,3.00
40379,836.97,651.00,1511.00,651.12,1511.15,0.01,23377.00
167,607.14,607.00,731.50,607.00,732.00,0.07,28.00
70217,581.14,546.00,1239.00,546.00,1261.56,1.82,76.00
53,658.42,672.00,754.50,672.00,771.00,2.19,12.00
482,705.33,702.00,716.00,702.00,730.00,1.96,3.00
456,595.77,591.00,951.50,591.00,951.85,0.04,4393.00
41475,503.96,498.00,869.50,497.70,870.00,0.06,3316.00
40488,570.73,563.00,796.00,563.00,797.62,0.20,891.00
142,775.59,681.00,2054.00,681.33,2068.00,0.68,2541.00
20559,149525.25,751.50,1515672.50,751.44,1519562.00,0.26,1942.00
40530,1231.56,564.50,27111.00,564.50,27112.76,0.01,198.00
40408,713.75,719.50,726.50,719.50,730.00,0.48,4.00
11897,2524.42,802.00,3514.50,802.00,3514.96,0.01,654.00
403,4403.59,604.00,55397.50,604.00,109984.00,98.54,29.00
124,602.85,603.00,716.50,603.00,771.00,7.61,40.00
12795,996.00,996.00,996.00,996.00,1036.00,4.02,2.00
507,522.42,564.50,743.50,564.50,745.80,0.31,142.00
31,686.33,680.00,890.50,680.00,895.00,0.51,15.00
12834,661.24,713.00,972.00,713.00,974.00,0.21,80.00
41522,736.06,730.00,971.00,730.00,971.00,0.00,2233.00
12738,523.75,562.50,607.00,562.50,626.00,3.13,4.00
22094,526.78,542.50,614.50,542.50,621.00,1.06,32.00
310,1318.64,574.00,21994.00,574.00,39288.62,78.63,59.00
327,9965.41,741.00,574044.50,741.00,574547.20,0.09,1578.00
22357,607.83,523.00,970.00,523.00,1028.00,5.98,12.00
22181,507.00,507.00,507.00,507.00,507.00,0.00,1.00
3,1978.99,635.00,6799.50,634.77,7117.61,4.68,15712.00
12650,2537.89,738.00,10761.50,737.82,10765.36,0.04,8397.00
20249,16009.38,582.00,637811.00,582.00,664977.76,4.26,744.00
11942,580.48,581.00,724.50,581.00,726.00,0.21,21.00
41735,482.50,482.50,482.50,482.50,681.00,41.14,2.00
10568,712.50,712.50,712.50,712.50,785.00,10.18,2.00
40094,1512.97,897.00,5699.50,896.91,5698.51,0.02,14277.00
137,4368.06,567.00,173786.00,567.00,180580.36,3.91,1898.00
10298,553.00,559.00,612.00,559.00,640.00,4.58,11.00
720,528.98,560.50,684.00,560.50,686.76,0.40,354.00
383,585.95,587.00,744.50,587.00,761.31,2.26,243.00
40832,1234.21,731.50,3864.50,731.50,4029.00,4.26,28.00
20516,1507.00,1507.00,1507.00,1507.00,1507.00,0.00,1.00
11709,650.72,639.00,2673.50,639.00,2685.52,0.45,642.00
195,665.33,652.50,708.00,652.50,737.00,4.10,6.00
10905,626.80,579.00,1112.00,579.00,1591.00,43.08,15.00
12449,612.00,612.00,612.00,612.00,612.00,0.00,1.00
22102,11687.80,782.00,113737.50,781.68,115706.96,1.73,11004.00
41618,660.74,674.00,966.00,674.00,967.48,0.15,302.00
12207,6036.52,627.00,4022.00,627.00,4306.20,7.07,251.00
70239,1992.14,634.00,15059.50,634.00,29313.00,94.65,21.00
21550,545.00,545.00,545.00,545.00,545.00,0.00,1.00
41508,694.10,697.50,825.50,697.50,845.00,2.36,10.00
11176,531.67,570.00,570.50,570.00,571.00,0.09,3.00
277,1131.47,665.00,1691.00,665.22,1691.60,0.04,46029.00
41738,548.51,605.00,1296.50,605.00,1304.10,0.59,1839.00
12235,3999.43,883.00,3310.00,883.00,3312.09,0.06,341.00
947,731.20,737.00,806.00,737.00,819.00,1.61,5.00
22696,570.00,614.50,667.00,614.50,677.00,1.50,4.00
40616,1178.82,678.00,3537.00,678.00,3607.00,1.98,22.00
12483,1608.25,733.00,3474.50,733.00,3598.87,3.58,243.00
22117,1354.97,712.00,3861.50,712.00,3939.81,2.03,259.00
41675,668.54,685.00,773.50,685.00,774.27,0.10,93.00
40526,1377.66,675.00,1115.00,674.85,1115.29,0.03,11485.00
5,2665.19,606.00,1866.00,606.00,1867.00,0.05,1033.00
416,673.88,682.50,887.00,682.50,890.00,0.34,8.00
40855,694.00,694.00,694.00,694.00,694.00,0.00,1.00
41478,538.50,600.50,880.50,600.50,938.58,6.60,432.00
13029,638.50,638.50,638.50,638.50,650.00,1.80,2.00
10399,875.69,843.00,1767.50,843.00,2294.20,29.80,107.00
243,2074.28,588.00,1566.50,588.00,1604.63,2.43,159.00
12008,580.50,580.50,580.50,580.50,585.00,0.78,2.00
12494,540.20,571.00,576.50,571.00,579.00,0.43,5.00
144,596.60,583.00,638.50,583.00,689.00,7.91,5.00
70078,548.77,553.00,752.00,553.00,753.04,0.14,74.00
40060,811.16,692.50,2878.50,692.50,2954.20,2.63,1030.00
444,682.41,622.00,1664.50,622.00,1664.77,0.02,297.00
981,797.92,681.00,1189.00,681.00,1189.26,0.02,87.00
41040,663.00,700.00,701.00,700.00,702.00,0.14,3.00
40065,992.67,769.00,4462.50,769.38,4466.31,0.09,1629.00
22075,529.06,538.00,655.50,538.00,669.00,2.06,50.00
11098,749.96,742.00,916.00,742.00,923.38,0.81,124.00
12360,551.21,581.00,1283.00,581.00,1619.00,26.19,52.00
20246,562.25,547.00,837.50,547.00,848.89,1.36,219.00
10983,1867.41,675.00,3167.50,675.00,3167.81,0.01,1069.00
10800,1833.34,797.00,2995.50,797.02,3254.10,8.63,82139.00
221,642.27,670.00,838.50,670.00,842.91,0.53,51.00
20288,514.58,535.00,561.00,535.00,562.00,0.18,12.00
20382,38146.95,559.00,804805.00,559.00,823415.32,2.31,307.00
70135,637.14,533.00,1012.00,533.30,1015.96,0.39,3738.00
78,568.75,586.00,831.50,586.00,831.81,0.04,969.00
21464,556.83,566.00,1111.00,566.00,1111.28,0.03,886.00
358,10894.17,588.00,331874.50,588.00,331875.67,0.00,161.00
21926,126729.89,563.00,857076.00,563.00,857103.00,0.00,18.00
41311,757.46,767.00,781.00,767.00,781.82,0.10,59.00
11576,6762.08,662.00,2886.50,662.00,6811.57,135.98,449.00
20717,29939.93,738.50,49549.50,738.50,404743.92,716.85,104.00
40845,636.00,659.00,673.50,659.00,688.00,2.15,3.00
40109,638.75,644.50,811.00,644.50,848.00,4.56,20.00
40928,693.00,693.00,693.00,693.00,693.00,0.00,1.00
10167,2375.05,563.00,1824.50,563.00,1824.72,0.01,7655.00
40425,572.06,567.50,685.50,567.50,730.00,6.49,16.00
389,1240.08,607.00,1377.50,607.30,1377.60,0.01,21243.00
110,545.08,564.00,1050.50,563.95,1049.01,0.14,7171.00
10379,2362.62,693.00,1786.00,693.00,1788.00,0.11,442.00
11288,615.42,621.00,691.00,621.00,700.00,1.30,12.00
70225,602.65,576.00,871.50,576.00,912.44,4.70,54.00
20392,89086.42,550.00,1500052.00,550.00,1503858.32,0.25,172.00
70090,673.27,747.00,1286.50,747.00,1420.13,10.39,277.00
40030,892.58,636.00,3691.50,636.00,3715.10,0.64,160.00
10722,630.50,638.00,697.50,638.00,706.00,1.22,8.00
198,577.18,588.00,1494.00,588.00,1499.04,0.34,716.00
106,536.40,562.00,644.50,562.00,657.00,1.94,10.00
12024,644.33,611.00,1059.00,611.00,1195.50,12.89,100.00
20514,68468.84,602.00,645616.50,602.00,701163.00,8.60,19.00
70076,692.13,707.00,820.50,707.00,821.00,0.06,307.00
21675,43312.57,554.00,881277.50,554.00,881300.00,0.00,44.00
41665,565.67,569.50,604.50,569.50,616.00,1.90,6.00
499,717.33,625.50,1062.00,625.50,1082.00,1.88,6.00
40570,604.83,633.00,758.50,633.00,761.00,0.33,6.00
1154,624.90,563.50,896.00,563.50,1045.00,16.63,10.00
241,828.00,828.00,828.00,828.00,828.00,0.00,1.00
10145,957.78,736.00,1561.50,736.00,1562.21,0.05,829.00
21931,552.00,552.00,552.00,552.00,552.00,0.00,1.00
22143,559.00,559.00,559.00,559.00,559.00,0.00,1.00
41661,507.33,608.00,608.50,608.00,609.00,0.08,3.00
41246,2619.57,761.00,10176.00,761.00,10176.68,0.01,2916.00
22188,7982.36,806.00,29252.50,806.00,29397.00,0.49,25.00
41630,679.50,699.50,745.00,699.50,756.00,1.48,18.00
298,553.00,553.00,553.00,553.00,553.00,0.00,1.00
21883,63990.77,511.00,1692742.00,511.00,1692757.60,0.00,1446.00
41699,660.69,580.50,4491.50,580.50,4491.86,0.01,364.00
171,638.88,600.00,847.00,600.00,849.52,0.30,558.00
41683,618.00,618.00,618.00,618.00,618.00,0.00,1.00
41433,645.92,644.00,673.50,644.00,675.00,0.22,37.00
10478,575.88,623.00,916.50,623.00,957.45,4.47,365.00
41066,1095.00,784.00,1888.00,784.00,1899.00,0.58,11.00
12161,696.00,696.00,696.00,696.00,696.00,0.00,1.00
148,9078.03,630.50,54268.50,630.50,54272.78,0.01,96.00
40390,1218.03,696.00,1004.50,696.00,1005.90,0.14,7191.00
134,615.89,608.50,1646.00,608.50,1652.50,0.39,144.00
356,906.00,957.00,1096.00,957.00,1140.00,4.01,6.00
10325,730.47,556.00,7981.00,556.00,8251.71,3.39,131.00
22974,96855.41,545.00,1520977.50,545.00,1521634.04,0.04,566.00
22341,164311.14,546.00,1224744.00,546.00,1225671.00,0.08,270.00
10271,556.07,562.00,665.50,562.00,751.00,12.85,14.00
22788,39041.17,628.00,1312513.00,628.00,1312516.68,0.00,1854.00
10284,4793.87,2109.00,7993.00,2109.19,7993.00,0.00,2790.00
12851,531.50,532.00,570.00,532.00,574.00,0.70,4.00
11778,923.12,701.00,4882.50,701.00,4882.89,0.01,661.00
20027,560.84,547.00,986.00,547.00,1186.00,20.28,146.00
20910,53507.50,569.50,635505.00,569.50,635526.00,0.00,24.00
318,744.48,732.00,979.50,732.00,985.74,0.64,484.00
11280,609.73,566.00,889.00,566.00,922.00,3.71,22.00
500,576.34,571.00,693.00,571.00,707.00,2.02,44.00
40218,702.67,651.00,740.00,651.00,829.00,12.03,3.00
20425,36740.81,565.00,1269070.00,565.08,1268666.70,0.03,7768.00
12231,2772.39,1932.00,6731.50,1931.65,6731.93,0.01,4457.00
36,751.18,745.00,1258.00,745.00,1258.04,0.00,346.00
22809,511.78,530.00,543.50,530.00,545.00,0.28,9.00
22211,609.17,623.50,701.50,623.50,758.00,8.05,6.00
331,624.37,657.00,761.00,657.00,772.00,1.45,30.00
10744,3761.62,757.00,113996.00,757.00,224408.00,96.86,224.00
1073,566.88,555.00,819.00,555.00,819.17,0.02,333.00
22264,589.71,587.00,620.00,587.00,620.00,0.00,7.00
20410,782.00,782.00,782.00,782.00,782.00,0.00,1.00
1107,571.41,559.50,697.00,559.50,707.00,1.43,34.00
41083,669.00,669.00,669.00,669.00,669.00,0.00,1.00
70108,604.84,663.00,802.50,663.00,803.58,0.13,421.00
10987,623.27,619.50,933.00,619.50,934.28,0.14,222.00
12351,724.00,724.00,724.00,724.00,802.00,10.77,2.00
41081,684.92,645.50,812.50,645.50,814.00,0.18,12.00
21209,708.00,708.00,708.00,708.00,708.00,0.00,1.00
10930,537.02,578.00,799.50,578.00,800.10,0.08,545.00
988,1243.86,599.00,3115.50,599.00,3141.25,0.83,625.00
40693,1057.11,757.50,4250.00,757.50,4259.94,0.23,244.00
40529,826.01,660.00,5568.50,659.70,5572.00,0.06,3728.00
264,632.77,628.00,771.00,628.00,772.86,0.24,169.00
70033,621.16,542.00,1073.00,542.09,1073.00,0.00,9927.00
126,677.12,685.00,916.50,685.00,944.64,3.07,858.00
41730,628.00,628.00,628.00,628.00,684.00,8.92,2.00
515,710.00,631.00,1671.00,631.11,1671.09,0.01,10395.00
54,2083.53,888.00,51772.50,887.95,51792.65,0.04,20422.00
41052,1273.80,1328.00,1840.00,1328.00,2297.00,24.84,5.00
21792,41269.67,545.00,1334469.50,545.00,1334675.06,0.02,607.00
41007,904.62,631.00,2821.50,631.00,4829.00,71.15,16.00
22586,34598.88,695.00,986106.50,694.68,988628.30,0.26,3735.00
12450,596.50,596.50,596.50,596.50,706.00,18.36,2.00
51,664.28,566.50,794.00,566.50,2773.86,249.35,132.00
11273,549.00,567.00,584.00,567.00,601.00,2.91,3.00
592,624.94,640.50,886.50,640.50,936.00,5.58,18.00
41715,552.84,557.00,646.50,557.00,685.00,5.96,19.00
158,586.79,569.50,810.00,569.50,818.00,0.99,24.00
20793,82395.34,918.00,1643355.50,917.73,1643262.63,0.01,183687.00
22593,273136.00,599.00,1681515.50,599.00,1738496.80,3.39,410.00
10065,458.25,505.50,616.00,505.50,626.00,1.62,8.00
10341,543.20,563.00,582.50,563.00,585.00,0.43,5.00
40799,1491.79,639.50,883.50,639.50,885.60,0.24,586.00
12265,611.00,611.00,611.00,611.00,611.00,0.00,1.00
40088,1306.50,1306.50,1306.50,1306.50,1897.00,45.20,2.00
41662,603.66,598.00,1233.00,598.00,1236.30,0.27,85.00
41202,839.78,676.00,3627.00,676.00,3628.40,0.04,65.00
21559,545.12,554.50,579.00,554.50,589.00,1.73,16.00
22236,7337.45,594.00,27023.00,594.00,27344.60,1.19,852.00
10217,643.50,621.00,714.00,621.00,761.00,6.58,4.00
21471,541.27,580.00,654.50,580.00,673.00,2.83,11.00
41080,1649.11,796.00,4608.50,796.00,4634.31,0.56,3671.00
10413,2396.42,744.00,3784.50,743.81,3784.49,0.00,47794.00
40275,689.11,650.00,1548.00,650.00,1548.00,0.00,1050.00
20786,433.33,412.00,676.00,412.00,713.45,5.54,105.00
12823,819.51,682.00,1885.50,682.00,1888.23,0.14,427.00
12454,591.47,581.00,760.00,581.00,821.00,8.03,17.00
116,770.06,748.00,1115.00,748.00,1115.11,0.01,639.00
70100,569.32,586.00,679.50,586.00,679.65,0.02,185.00
21838,921.40,518.00,1576.50,518.00,1918.00,21.66,5.00
12841,701.67,678.00,731.00,678.00,784.00,7.25,3.00
40553,541.50,558.00,615.50,558.00,624.00,1.38,34.00
41567,582.06,563.00,671.00,563.00,672.32,0.20,334.00
41711,688.00,688.00,688.00,688.00,688.00,0.00,1.00
22802,43985.30,631.00,1346455.50,631.00,1372514.80,1.94,117.00
226,672.74,667.00,795.50,667.00,797.00,0.19,34.00
1128,586.55,588.00,668.00,588.00,674.00,0.90,20.00
41587,608.88,633.50,743.50,633.50,747.00,0.47,32.00
40833,779.97,649.00,2876.00,649.00,2908.78,1.14,289.00
781,664.06,611.00,894.50,611.00,1053.00,17.72,18.00
12859,574.50,574.50,574.50,574.50,590.00,2.70,2.00
20936,584.67,584.00,592.50,584.00,601.00,1.43,3.00
41663,614.33,600.00,831.00,600.00,845.00,1.68,39.00
22540,8171.70,560.50,4155.00,560.50,6388.80,53.76,810.00
20441,69140.39,558.00,1653028.00,558.00,1653052.08,0.00,786.00
12922,668.43,670.00,808.50,670.00,809.00,0.06,49.00
1206,508.16,564.50,738.00,564.50,738.00,0.00,44.00
41458,578.74,622.00,952.00,622.00,957.50,0.58,545.00
40791,1400.12,598.00,4329.50,597.95,4328.82,0.02,23581.00
1056,985.25,1064.50,1111.00,1064.50,1148.00,3.33,4.00
41553,596.12,627.00,1987.00,627.00,1990.12,0.16,7774.00
1031,446.00,446.00,446.00,446.00,461.00,3.36,2.00
41727,665.00,665.00,665.00,665.00,665.00,0.00,1.00
344,595.00,595.00,595.00,595.00,595.00,0.00,1.00
254,955.00,955.00,955.00,955.00,955.00,0.00,1.00
22713,93095.94,615.00,1558850.00,615.00,1575507.00,1.07,290.00
10251,7148.63,523.50,275769.50,523.50,462419.64,67.68,166.00
41049,769.78,715.00,3024.50,715.00,3024.75,0.01,475.00
360,552.95,559.00,868.50,559.00,870.15,0.19,267.00
10822,573.00,594.00,620.00,594.00,622.00,0.32,8.00
10785,539.00,507.00,596.50,507.00,597.00,0.08,5.00
40736,644.67,650.00,654.50,650.00,657.00,0.38,6.00
10490,590.33,604.00,624.00,604.00,628.00,0.64,9.00
11527,579.40,583.00,675.50,583.00,684.00,1.26,10.00
11858,664.00,589.00,707.50,589.00,826.00,16.75,3.00
21855,525.57,468.00,1622.00,468.00,1623.40,0.09,93.00
12582,597.00,597.00,597.00,597.00,597.00,0.00,1.00
345,774.78,676.00,2097.50,676.22,2099.75,0.11,3055.00
41269,1646.53,740.00,3454.00,740.00,3494.18,1.16,5021.00
11504,766.00,610.00,1791.00,610.00,2669.00,49.02,16.00
928,792.67,693.00,1117.50,693.00,1138.00,1.83,6.00
22494,709.33,682.00,731.00,682.00,780.00,6.70,3.00
12963,537.83,534.50,569.50,534.50,570.00,0.09,6.00
40646,31145.22,590.00,377544.00,590.00,377565.00,0.01,37.00
22495,209100.60,609.00,1790344.00,609.00,1790883.22,0.03,89.00
12867,489.00,519.00,521.50,519.00,524.00,0.48,3.00
