"@timestamp",cId,StartTs,Duration
"2023-06-09T21:17:17.502271977Z",423,1686345435930,703
"2023-06-09T21:17:17.376251731Z",423,1686345435930,552
"2023-06-09T21:17:17.443907018Z",423,1686345435930,646
"2023-06-09T21:17:17.443905079Z",423,1686345435930,643
"2023-06-09T21:17:17.443890649Z",423,1686345435930,556
"2023-06-09T21:17:11.463577449Z",70151,1686345430538,634
"2023-06-09T21:17:11.463574311Z",70151,1686345430538,616
"2023-06-09T21:17:11.463571156Z",70151,1686345430538,580
"2023-06-09T21:17:11.463567950Z",70151,1686345430538,562
"2023-06-09T21:17:11.463564679Z",70151,1686345430538,542
"2023-06-09T21:17:11.463562787Z",70151,1686345430538,542
"2023-06-09T21:17:12.091168071Z",197,1686345430427,806
"2023-06-09T21:17:12.091165994Z",197,1686345430427,798
"2023-06-09T21:17:12.179898516Z",197,1686345430427,806
"2023-06-09T21:17:08.137934833Z",50,1686345424662,692
"2023-06-09T21:17:07.275219833Z",389,1686345425698,732
"2023-06-09T21:17:06.461040530Z",389,1686345425698,540
"2023-06-09T21:17:06.303401877Z",389,1686345425698,433
"2023-06-09T21:17:06.461038627Z",389,1686345425698,539
"2023-06-09T21:17:06.303403802Z",389,1686345425698,438
"2023-06-09T21:17:05.467441539Z",70135,1686345424047,622
"2023-06-09T21:17:05.467436445Z",70135,1686345424047,529
"2023-06-09T21:17:05.467434712Z",70135,1686345424047,526
"2023-06-09T21:17:05.467432933Z",70135,1686345424047,524
"2023-06-09T21:17:05.467426330Z",70135,1686345424047,440
"2023-06-09T21:17:03.727199982Z",1008,1686345422481,668
"2023-06-09T21:17:04.836737674Z",70135,1686345424047,628
"2023-06-09T21:17:28.417588939Z",22541,1686345446956,611
"2023-06-09T21:17:27.460589555Z",22236,1686345446341,518
"2023-06-09T21:17:18.457755364Z",20793,1686345437446,547
"2023-06-09T21:17:12.322397508Z",21154,1686345430974,615
"2023-06-09T21:17:12.322396009Z",21154,1686345430974,609
"2023-06-09T21:17:12.340133143Z",21154,1686345430974,616
"2023-06-09T21:17:09.330445048Z",20793,1686345427804,572
"2023-06-09T21:17:08.386427509Z",87,1686345426120,1528
"2023-06-09T21:17:08.196217917Z",389,1686345425698,735
